age,income,credit_score,loan_amount,debt_to_income,employment_years,previous_defaults,loan_approved
33,118179,518,13150,0.2,4,1,1
36,65764,676,7125,0.2,10,0,1
55,99543,599,49247,0.12,26,0,1
69,70714,732,21748,0.34,1,0,1
59,81835,575,44577,0.38,23,0,1
23,127946,764,9621,0.13,27,0,1
21,134616,783,20034,0.49,14,0,1
25,130983,705,10126,0.33,5,0,1
61,98744,722,10122,0.36,7,0,1
23,81491,551,23030,0.32,26,1,1
48,149123,838,22302,0.3,4,0,1
37,43589,643,24181,0.38,15,2,1
45,68484,568,43638,0.18,25,0,1
63,107989,598,6531,0.19,17,0,1
53,61212,524,45940,0.53,5,0,0
29,68525,552,45441,0.57,4,0,1
55,72202,650,28333,0.29,27,0,1
33,57635,643,44650,0.24,15,0,1
50,88208,556,39674,0.42,12,0,1
67,58828,538,40854,0.3,27,0,1
34,43711,608,13152,0.11,4,2,0
27,28420,680,43518,0.18,12,2,0
33,121752,541,15267,0.46,16,0,1
42,25301,685,30289,0.43,17,0,1
59,70236,722,6062,0.11,7,0,1
40,140294,621,34926,0.21,12,0,1
35,142858,632,11229,0.22,29,0,1
64,91235,662,9632,0.44,28,0,1
37,79240,714,44056,0.11,18,0,1
66,149019,720,8596,0.15,25,1,1
43,90726,734,49243,0.5,2,0,1
45,35492,830,11168,0.19,23,0,1
44,140668,645,47563,0.43,7,0,1
64,126279,738,12561,0.22,1,0,1
60,31102,575,13258,0.15,7,0,1
48,75336,508,21616,0.22,26,2,1
34,143015,573,31734,0.46,12,0,1
64,110314,752,11371,0.53,12,1,1
20,148007,729,31069,0.52,0,0,1
44,51641,506,19369,0.3,5,0,1
26,59584,673,17910,0.43,23,0,1
28,57745,640,12943,0.2,18,0,1
43,145542,667,17199,0.25,15,1,1
20,48093,669,20728,0.55,7,1,1
63,91105,782,28275,0.11,27,0,1
27,128746,621,11738,0.14,0,0,1
43,125199,693,20913,0.2,26,0,1
30,76885,504,40240,0.11,26,1,1
36,61631,528,24123,0.19,15,0,1
27,136217,664,39529,0.39,8,0,1
54,97991,838,15167,0.31,12,0,1
54,29014,635,15554,0.55,10,0,1
52,36093,820,22260,0.51,12,0,1
24,43070,841,8812,0.27,24,0,1
61,60777,644,33024,0.23,20,1,1
58,81958,826,32285,0.29,9,0,1
60,107074,716,31900,0.4,3,0,1
47,35729,800,6605,0.23,26,2,1
26,124713,631,10622,0.41,5,0,1
28,70017,791,11767,0.3,27,1,1
27,91320,569,32139,0.38,6,0,1
31,52751,751,16613,0.32,4,0,1
53,131400,774,15589,0.25,10,1,1
52,130864,681,18918,0.57,12,0,1
67,103069,666,25119,0.48,25,0,1
42,130647,590,32446,0.17,24,0,1
43,130510,701,18046,0.53,18,0,1
56,79748,845,29818,0.34,22,0,1
54,30801,518,40358,0.55,9,0,1
63,44190,538,9324,0.5,9,2,0
59,74689,625,15787,0.31,10,0,1
41,129290,672,14111,0.11,20,0,1
46,75993,640,43110,0.23,29,0,1
54,54592,741,21389,0.37,6,0,1
20,35647,719,46427,0.42,17,0,1
54,33716,625,19043,0.23,3,2,0
56,113891,557,33746,0.17,1,0,1
66,112545,647,27350,0.52,13,0,1
33,142638,816,46605,0.59,12,0,1
22,114912,500,5117,0.36,28,0,1
20,135627,847,23935,0.19,11,0,1
24,95316,689,18234,0.24,6,0,1
45,27368,690,43328,0.11,1,1,1
33,102575,811,5846,0.56,12,0,1
58,31655,616,15954,0.16,13,0,1
46,131477,633,18703,0.39,26,0,1
28,95031,557,27700,0.24,16,0,1
34,101429,543,37043,0.38,8,0,1
34,116083,672,11469,0.43,16,0,1
45,112922,659,35105,0.51,7,0,1
61,80766,672,47101,0.2,1,0,1
32,149046,816,31386,0.11,27,0,1
51,38403,802,41976,0.17,23,0,1
58,57097,648,44051,0.55,12,1,0
68,103657,579,7048,0.54,2,1,1
51,145607,712,44001,0.4,15,0,1
23,35966,702,17941,0.4,5,1,1
49,149862,751,47533,0.43,18,0,1
56,124157,728,6828,0.19,29,0,1
42,143834,663,6917,0.56,6,0,1
58,118848,726,25618,0.31,9,0,1
64,77921,646,37254,0.29,8,0,1
34,74726,519,44756,0.36,1,1,0
62,75300,546,25128,0.12,27,0,1
48,47677,732,5009,0.18,27,0,1
55,80609,804,21644,0.47,14,0,1
32,121825,513,27422,0.14,29,1,1
51,81661,642,14865,0.4,4,0,1
26,56024,500,7219,0.22,28,0,1
41,133211,553,44809,0.29,21,0,1
47,95313,758,10287,0.24,3,0,1
21,78006,643,39387,0.28,19,2,1
61,120285,511,13512,0.46,3,2,1
64,40338,829,6342,0.25,17,0,1
25,93027,723,48336,0.38,3,2,1
47,117772,771,24216,0.34,26,0,1
47,138632,655,32534,0.43,16,1,1
63,105135,507,19231,0.57,11,0,1
63,44508,621,37293,0.47,21,0,1
39,145379,847,31614,0.21,16,0,1
49,28051,663,41258,0.12,9,0,1
30,73747,589,33253,0.23,21,0,1
47,139692,635,47078,0.4,0,0,1
44,112142,685,45752,0.13,21,0,1
58,112235,815,22988,0.35,25,0,1
52,79021,677,36037,0.4,23,0,1
20,91412,527,17219,0.27,26,0,1
46,83335,719,5235,0.49,17,2,1
32,81179,540,47929,0.15,17,0,1
60,57093,727,6908,0.14,13,0,1
22,94678,691,13567,0.46,14,0,1
58,105738,644,41298,0.35,28,1,1
25,64734,700,10256,0.44,11,0,1
27,97615,711,24019,0.32,3,0,1
46,98523,719,13162,0.22,26,1,1
28,130103,739,10415,0.51,2,1,1
56,119476,545,41159,0.5,19,0,1
52,127769,534,48925,0.45,28,0,1
61,42019,752,10951,0.24,11,0,1
63,136721,581,26852,0.4,6,1,1
43,108613,755,13007,0.28,28,0,1
34,116794,696,46832,0.15,10,0,1
51,111672,802,35523,0.56,0,1,1
51,98847,509,28325,0.17,5,0,1
43,107750,811,26204,0.58,14,0,1
60,104634,785,20524,0.32,14,0,1
68,53251,741,24282,0.19,18,0,1
68,128481,750,28930,0.37,10,0,1
31,137566,504,5077,0.54,25,0,1
58,50945,618,45345,0.47,22,0,1
21,115852,788,25611,0.5,25,0,1
22,57217,564,21984,0.43,1,2,0
68,33308,645,19060,0.45,13,0,1
56,30949,723,22449,0.52,1,2,1
68,76990,738,23520,0.22,28,0,1
36,26150,676,48303,0.34,3,1,0
68,114480,766,14510,0.21,16,0,1
21,125235,840,34287,0.59,2,0,1
21,99740,781,33173,0.57,12,0,1
47,141352,562,44711,0.12,8,1,1
42,91617,716,16954,0.45,6,0,1
56,119841,841,12804,0.56,14,0,1
51,41896,814,11565,0.19,22,0,1
52,71175,782,10984,0.38,28,1,1
20,32805,676,26526,0.56,28,0,1
38,30237,597,42438,0.12,10,0,1
21,140247,604,23574,0.45,19,0,1
63,45056,598,14184,0.25,1,1,1
45,70543,810,24096,0.56,14,0,1
51,81556,505,7192,0.59,13,0,1
25,139548,696,39016,0.57,19,0,1
51,136488,632,16246,0.34,21,0,1
23,28343,758,23381,0.53,10,0,1
30,38500,522,41455,0.52,26,0,1
36,78222,552,31727,0.26,2,0,1
57,54375,664,9018,0.51,16,0,1
43,34662,701,16302,0.12,29,0,1
24,41964,582,6970,0.4,11,0,1
53,138429,644,46157,0.22,23,0,1
25,146692,584,32202,0.16,27,0,1
41,84638,577,36110,0.14,28,0,1
30,98666,500,22586,0.45,20,0,1
67,110067,550,29519,0.27,14,0,1
35,143937,672,36273,0.46,15,0,1
52,92215,704,26951,0.13,4,0,1
28,94042,759,20374,0.26,26,0,1
25,38284,787,10788,0.37,19,1,1
35,97789,533,10408,0.5,5,0,1
48,109664,847,30053,0.26,18,0,1
22,118468,594,14446,0.41,24,0,1
39,86389,571,5922,0.54,4,0,1
55,34435,538,38187,0.41,2,0,1
38,79340,653,15789,0.22,26,0,1
45,69078,749,37184,0.11,0,0,1
22,103832,661,6120,0.54,25,0,1
38,76293,617,49028,0.11,27,0,1
39,120981,758,37154,0.54,5,0,1
51,103781,805,22334,0.36,14,1,1
26,85403,767,7336,0.57,1,0,1
60,54124,553,43141,0.5,28,2,0
52,120435,735,7243,0.6,2,0,1
59,68919,721,24029,0.28,16,0,1
58,133761,750,37265,0.48,24,0,1
37,146305,812,42380,0.3,23,0,1
59,60247,611,48872,0.34,11,1,1
20,146172,754,28710,0.41,17,0,1
30,119758,802,34486,0.54,14,1,1
47,116747,706,11371,0.59,11,0,1
44,87752,728,11359,0.48,15,1,1
69,81573,840,45631,0.31,26,0,1
42,84101,565,40996,0.31,7,0,1
50,127756,574,25103,0.47,27,0,1
49,51646,602,19382,0.22,13,0,1
61,129185,691,23755,0.16,24,0,1
54,48049,751,40659,0.28,16,0,1
26,104605,725,8756,0.24,28,1,1
35,123116,793,25609,0.25,20,0,1
45,122379,805,21478,0.22,7,0,1
67,93385,597,40442,0.12,14,0,1
68,65158,837,44666,0.11,26,0,1
21,90417,785,15147,0.59,13,0,1
20,48289,834,38561,0.31,17,0,1
67,135226,846,39884,0.29,19,0,1
31,125793,807,10779,0.44,6,0,1
24,34823,748,17298,0.21,2,0,1
56,85160,665,19153,0.57,28,0,1
51,66975,834,48879,0.49,11,0,1
28,34540,529,15789,0.14,20,0,1
60,41364,746,49165,0.31,23,0,1
54,29611,605,17999,0.54,27,0,1
38,52663,550,5814,0.57,25,0,1
67,76991,580,15541,0.33,2,2,1
35,82679,632,29938,0.41,19,0,1
22,129182,784,7443,0.18,13,1,1
39,55977,637,15457,0.6,14,0,1
43,119704,683,15380,0.22,24,0,1
52,74115,829,12783,0.57,29,0,1
43,116007,772,49241,0.42,13,2,1
30,113223,839,22368,0.4,6,0,1
68,85890,568,20328,0.36,16,1,1
27,91387,533,31215,0.22,29,1,1
