town,area,price
Riverdale,1187,389909
Oakwood,1266,213578
Springfield,2001,403106
Riverdale,2032,498123
Springfield,2506,456794
Riverdale,2388,587347
Riverdale,1440,411915
Springfield,1705,382680
Springfield,503,194994
Springfield,1002,250737
Riverdale,1979,499674
Springfield,1823,403979
Oakwood,1105,219596
Springfield,1719,357193
Riverdale,2256,549082
Springfield,1553,368029
Riverdale,2124,529126
Oakwood,1254,231205
Springfield,1564,350424
Springfield,2180,433388
Oakwood,1643,272381
Springfield,2020,381748
Oakwood,1393,243508
Springfield,1532,351269
Oakwood,1334,247717
Oakwood,1277,233931
Oakwood,1791,280355
Springfield,1704,367289
Springfield,1929,379527
Oakwood,1973,308087
Riverdale,1696,433156
Riverdale,2585,595241
Oakwood,1396,233647
Springfield,963,292116
Oakwood,1152,216226
Springfield,2045,415768
Springfield,1897,370035
Springfield,2023,405848
Springfield,1220,275288
Oakwood,1200,237601
Springfield,1924,403010
Riverdale,2048,506628
Riverdale,2361,533995
Riverdale,2446,564217
Springfield,2076,393101
Springfield,1827,383992
Oakwood,1429,238024
Oakwood,2082,311852
Riverdale,3276,663293
Riverdale,2144,539686
Riverdale,1780,457212
Riverdale,2716,564037
Springfield,1936,410462
Springfield,2028,407917
Springfield,1271,329991
Oakwood,1377,237992
Oakwood,886,207708
Oakwood,1482,253577
Riverdale,1402,404292
Springfield,1903,382895
Oakwood,1401,243564
Oakwood,1306,218078
Springfield,1848,379476
Springfield,2224,440000
Springfield,1932,370612
Riverdale,2257,567005
Oakwood,2018,319263
Oakwood,1093,211144
Springfield,2058,417489
Riverdale,1983,490773
Springfield,2223,390378
Springfield,2154,406423
Springfield,2400,439111
Springfield,2192,418000
Oakwood,888,193804
Riverdale,2196,535502
Springfield,1278,313405
Springfield,1359,320395
Springfield,1774,377207
Riverdale,1976,487126
Springfield,1587,328546
Springfield,1226,294247
Springfield,2585,460728
Springfield,2005,408669
Springfield,1755,357285
Oakwood,1179,227800
Springfield,1689,318151
Riverdale,1886,440197
Riverdale,2488,574545
Riverdale,1713,461409
Riverdale,1396,419509
Springfield,1725,356283
Springfield,1541,318696
Springfield,1887,390098
Riverdale,2196,557038
Springfield,2749,495097
Riverdale,1681,451533
Springfield,2358,413315
Riverdale,1500,441259
Springfield,1616,334530
Springfield,1563,324600
Springfield,798,256029
Oakwood,1328,227084
Oakwood,1471,252480
Springfield,2000,375336
Oakwood,2012,317336
Springfield,1534,342638
Springfield,1911,338205
Springfield,1903,364795
Springfield,1344,315296
Riverdale,1874,483307
Springfield,1559,348483
Riverdale,2464,593791
Riverdale,1314,383307
Oakwood,1511,247505
Oakwood,1546,272671
Oakwood,1501,248476
Springfield,1672,345854
Oakwood,1486,271924
Springfield,1691,367134
Oakwood,788,174779
Riverdale,2725,584629
Riverdale,2363,546437
Springfield,2156,410154
Riverdale,1460,447275
Springfield,2003,409069
Riverdale,2290,545564
Springfield,1363,301304
Riverdale,2235,523346
Oakwood,1295,241316
Oakwood,1319,225517
Oakwood,1271,225218
Riverdale,2634,615872
Riverdale,1383,419239
Springfield,1088,303000
Riverdale,2290,593471
Riverdale,2254,550075
Riverdale,2308,551962
Springfield,2552,476421
Riverdale,2291,542741
Oakwood,1103,213527
Oakwood,2161,320534
Springfield,1736,351916
Oakwood,1655,244017
Oakwood,1013,193284
Riverdale,1448,417505
Riverdale,2077,505325
Riverdale,2602,581135
Springfield,2539,471578
Springfield,1393,324910
Oakwood,1319,224239
Springfield,1800,368373
Riverdale,2206,528357
Springfield,1754,362805
Springfield,1786,356168
Riverdale,2894,571972
Riverdale,2823,573752
Springfield,1915,375977
Oakwood,977,195036
Riverdale,2019,501268
Springfield,2174,429953
Springfield,1518,321235
Riverdale,1937,500967
Riverdale,2024,498775
Springfield,2084,406743
Oakwood,1893,279764
Springfield,2037,389796
Springfield,1132,312310
Oakwood,1243,238575
Springfield,2326,402823
Springfield,1287,330761
Riverdale,1323,394321
Oakwood,1236,231411
Oakwood,1691,270335
Oakwood,1290,231980
Springfield,2662,479523
Springfield,1868,371400
Oakwood,1013,207243
Springfield,1878,360684
Springfield,2602,473003
Oakwood,1476,260046
Riverdale,1698,467925
Oakwood,847,177669
Riverdale,2025,507471
Riverdale,1894,457026
Springfield,2336,417063
Springfield,1420,359885
Riverdale,2247,538160
Springfield,1569,340110
Riverdale,1355,429442
Oakwood,1389,259663
Riverdale,1421,410932
Oakwood,1589,270680
Springfield,1094,298442
Springfield,1770,371710
Springfield,2225,418794
Riverdale,2479,588675
Riverdale,1973,508878
Riverdale,2414,562113
Springfield,2127,407247
Springfield,1367,329837
Oakwood,1738,274305
Oakwood,1681,264534
Springfield,1237,305955
Springfield,1888,369378
Springfield,1695,355424
Springfield,2378,438308
Springfield,2147,411885
Riverdale,2241,555049
Oakwood,1766,270935
Riverdale,3349,681603
