sqft,lotsize,bedrooms,bathrooms,stories,garage_cars,age,total_rooms,noise_index_1,noise_index_2,house_number,has_pool,has_central_ac,is_waterfront,distance_to_city_center_miles,property_tax_rate,year_built,noise_zip_last2,noise_random_score,price
1919,5471,2,1,2,1,3,3,12.625378279261346,11.070346942098196,639,0,1,0,22.0,1.3,2023,59,58.27,188573
1520,3637,3,1,1,3,28,5,65.96293663947422,11.637261323559796,652,0,1,1,9.2,1.2,1998,58,77.7,196653
1394,2881,3,2,2,2,10,5,16.161981128587144,7.589992957801945,454,0,1,0,20.7,1.2,2016,60,53.33,151712
2298,7198,2,1,1,2,35,4,25.54933446556047,11.175859485468782,402,0,1,0,3.7,1.34,1991,45,52.41,232416
2137,4661,3,1,3,2,29,5,94.66379541996072,12.171187352816345,595,0,1,0,21.3,1.12,1997,75,35.94,159003
1956,5101,3,3,1,1,15,7,56.01822583749119,10.38679156632348,757,0,1,1,4.1,1.21,2011,88,70.96,268316
1419,2862,3,2,1,1,33,6,75.07295069993472,8.362766640790847,867,0,1,0,10.5,1.13,1993,43,48.87,137928
1868,4183,3,2,1,1,7,6,55.79807387826399,11.83949522865598,326,0,1,0,20.1,1.13,2019,45,41.32,185919
1667,5166,2,1,3,1,12,4,55.25136147827252,10.22783925620154,335,0,1,0,4.6,1.15,2014,15,50.96,189430
1612,3273,3,1,2,2,49,6,9.41519101256979,6.651111472344608,972,0,1,0,6.5,1.23,1977,48,57.08,127030
2261,5563,3,1,2,1,30,5,34.3663192609103,8.20762107536668,991,0,1,0,18.3,1.13,1996,51,52.09,184965
1744,4099,3,1,1,0,21,6,28.24308986865117,8.947410937546053,554,0,1,0,18.3,1.39,2005,67,68.09,144583
2243,4562,4,1,2,3,31,5,39.07283656136132,13.011636575279312,112,0,1,0,16.4,1.07,1995,21,55.76,184332
1803,4097,3,1,1,2,24,6,79.83441882243282,12.660366172612427,309,0,1,0,17.7,1.17,2002,12,45.74,156496
2371,7778,2,1,2,3,20,4,37.19326679168648,12.653937062113352,840,0,1,1,14.0,1.13,2006,27,56.02,270490
1724,4979,2,1,1,3,37,4,45.16968192316827,10.464720555367734,496,0,1,1,7.0,1.42,1989,49,57.49,223240
1565,3413,3,2,1,1,4,5,39.73813904853165,11.8271895835584,199,1,0,0,9.3,1.23,2022,30,30.55,202105
2049,6233,2,1,1,1,28,4,9.34079719752956,7.718441182628219,130,1,1,0,5.4,1.35,1998,24,67.24,221596
1557,3168,3,1,1,2,44,4,44.10721582507837,10.013606196785542,997,0,0,1,22.8,0.98,1982,35,45.49,136847
2387,5313,4,2,2,2,20,6,19.560927304451504,10.903265403299192,627,0,1,0,15.0,1.24,2006,17,45.87,219234
1315,2060,3,2,1,1,24,6,18.672329577304147,7.850201885381759,748,0,1,0,10.6,1.33,2002,96,61.27,140308
1258,3007,3,1,2,2,49,5,9.403610443426636,10.41982417928374,428,0,1,0,12.1,1.21,1977,51,61.21,144798
2064,5295,3,2,1,1,32,6,35.667097414176475,13.373278371608688,265,0,1,0,23.7,1.36,1994,53,39.49,189045
2125,6107,3,2,2,1,41,7,75.74818847894174,11.117539569121254,558,0,0,1,4.7,1.12,1985,23,62.04,217628
2036,5257,3,1,1,2,36,5,27.644169058339607,11.835090413328242,921,0,0,0,15.1,1.41,1990,87,41.59,176565
2194,4826,4,3,1,2,34,8,31.23491018855136,5.095186153135475,199,0,1,0,13.1,1.54,1992,11,77.29,231318
1984,4548,3,3,2,2,36,6,64.26746576724236,13.11593769830585,720,1,1,0,15.7,1.15,1990,46,37.58,227058
1942,2782,5,1,1,0,2,7,19.58408125869189,9.62775530449566,954,0,0,0,1.4,1.13,2024,78,53.59,167417
2005,3920,4,1,1,2,15,6,89.69579304235343,8.462627371859915,272,0,1,0,21.9,1.42,2011,47,38.27,173737
1656,4309,2,2,2,1,34,6,52.01905232515544,9.65072429638014,848,0,1,0,23.4,1.44,1992,50,83.34,141719
2269,6585,2,2,3,1,36,6,44.7602940320217,7.029955683438205,261,0,1,0,14.6,1.12,1990,71,31.43,213052
1866,5515,2,1,1,2,6,4,55.78201919292014,12.095884123504284,827,0,1,0,17.7,1.14,2020,69,57.87,184644
1098,2355,2,1,1,3,39,3,16.603431341619547,9.329208554452414,875,0,0,0,23.1,1.16,1987,23,38.98,104334
1872,5486,2,1,2,2,42,5,61.34731386391763,8.522738375947862,362,1,0,0,18.0,1.0,1984,98,44.69,200493
1801,4422,3,2,1,2,12,6,36.31007366340104,9.66388986862327,903,0,1,0,4.7,1.06,2014,93,56.8,188138
1419,3984,2,2,1,2,3,4,89.7186340964619,12.23603130915228,373,1,1,0,14.8,1.05,2023,11,68.37,214368
2002,5917,3,1,1,2,45,4,16.885420667768614,10.262916801562442,102,1,1,0,15.6,1.08,1981,79,74.35,196280
2528,6546,4,2,2,0,18,7,50.705110386544106,7.180612460933066,127,0,1,0,11.2,1.19,2008,26,26.95,225919
1921,6396,2,2,2,1,40,4,59.8112629369018,10.929961659482164,425,1,1,0,18.7,1.24,1986,98,54.02,193740
2060,3741,4,1,1,1,21,7,3.3383601786381223,8.14204009135475,248,0,1,0,23.4,1.43,2005,37,71.89,157950
1902,4536,3,1,1,1,15,5,36.36931247561402,5.687797937250367,639,0,1,0,23.2,1.05,2011,75,24.72,174520
1861,5496,2,2,1,2,33,4,73.26352347008329,12.992014425434355,587,0,1,0,11.8,1.35,1993,44,54.72,186951
2294,6463,3,3,2,1,35,8,82.03775074489734,10.91445974965538,921,0,1,0,3.7,1.17,1991,14,49.97,222083
1823,4281,3,2,1,0,26,6,31.316199481728237,9.84345867239317,537,0,1,0,24.6,1.19,2000,74,56.22,153392
2095,4721,4,2,1,1,8,7,79.85932723827513,9.308780970606602,164,0,0,0,21.1,1.3,2018,49,38.42,205314
1852,3340,4,1,2,2,36,5,96.77558771033888,12.794159001466632,455,0,0,0,4.0,1.03,1990,85,28.47,142101
1825,3205,4,2,1,0,48,6,85.6873936075094,16.17431030039681,632,0,1,0,23.1,1.26,1978,65,21.3,112539
2218,6218,3,2,2,2,30,6,11.76439881593252,10.897561037133032,351,0,1,0,21.9,1.22,1996,45,64.65,198515
2170,7034,2,1,1,1,23,4,73.97303320855406,7.940730635344248,334,0,1,0,13.5,1.27,2003,54,66.56,193513
2318,4891,4,1,1,1,42,6,31.966683244054472,9.691068962264048,326,0,1,0,15.2,1.24,1984,32,54.54,159575
2620,6505,4,1,1,2,44,6,98.84159894120764,10.8611453441881,624,0,0,0,10.6,1.57,1982,56,41.99,186510
2557,5542,5,1,2,2,14,7,48.53589831598871,5.300943386016269,412,0,0,0,2.3,1.1,2012,40,25.65,232907
1720,4032,3,1,2,1,14,4,12.243389835894105,10.668998403556236,148,1,1,0,9.0,1.12,2012,20,58.45,191448
2034,5542,3,1,2,2,2,5,72.51855480273908,10.872850258986158,217,0,1,0,20.3,1.11,2024,19,33.49,172747
2820,7307,4,1,1,2,37,7,32.30111983862138,12.65268439597444,153,0,1,0,1.1,1.12,1989,76,39.33,261350
2069,4946,3,1,2,1,5,5,99.70781570816617,12.444246604746109,749,0,1,0,9.0,1.1,2021,23,41.2,211140
2833,7346,4,3,1,2,38,8,97.9782457854522,10.222344320579072,664,0,1,0,10.6,1.38,1988,89,47.04,253776
1536,1200,4,2,1,2,45,6,65.61340180205806,13.029273813160716,143,0,1,0,13.9,1.41,1981,83,38.61,134478
2350,6232,3,2,2,2,41,6,12.982644895171758,14.071356638077512,914,0,1,1,23.1,1.11,1985,19,50.5,228838
2305,5130,4,2,1,2,47,7,68.68609976750291,10.05590291048892,152,0,1,0,9.3,1.08,1979,85,40.67,201048
2046,4551,4,2,1,2,14,8,9.30304864600272,10.8363741569355,685,0,1,1,9.3,1.27,2012,10,60.52,227632
1760,5137,2,1,1,2,39,4,2.936415910239232,6.465405293778847,657,0,1,0,18.7,1.12,1987,14,65.47,184975
1426,2018,4,2,1,2,25,8,82.2958446221486,7.098053475117824,624,0,1,0,11.9,1.29,2001,29,51.63,137293
1700,4670,3,2,1,2,20,6,20.975294768368137,8.323607371980962,776,1,1,0,6.4,1.23,2006,17,56.94,218377
2481,5535,4,2,2,2,2,6,37.90271262190974,9.112763390965894,201,0,1,1,11.9,0.97,2024,52,81.77,260519
2502,7216,3,2,1,2,39,6,97.34573899761732,7.807753950523863,891,0,0,0,4.4,1.43,1987,85,32.41,263817
1979,4222,4,1,2,2,6,5,33.684050186110326,9.928009176045515,869,0,0,0,5.2,1.47,2020,10,31.5,213728
1717,3787,3,1,2,1,17,4,29.648978128331528,9.172581664650764,948,0,0,0,13.0,1.11,2009,66,60.42,172310
1612,4247,2,1,1,2,25,5,91.82079996227752,12.14179046267923,967,0,0,0,11.1,1.14,2001,73,79.2,171541
2561,6373,4,2,1,2,28,7,11.074844531895812,9.050452709032584,497,0,1,0,23.0,1.24,1998,93,46.09,210213
1872,5493,2,2,1,0,2,5,75.95824101146317,5.426564103569011,237,0,1,0,9.7,1.25,2024,37,75.9,208530
1875,4205,3,1,2,2,35,4,98.8065566652774,10.25150234507084,774,1,1,0,14.9,1.3,1991,46,51.45,183120
2656,5769,5,3,1,1,37,9,90.12960107746488,9.971603951177322,486,0,0,0,16.2,1.5,1989,56,39.79,239296
2566,5145,5,2,2,1,5,7,65.1667918706426,8.275900237191014,210,0,1,0,1.3,1.17,2021,85,35.14,248380
2197,6452,3,1,1,2,1,4,31.4060794992732,10.189999766994074,713,0,1,0,16.9,1.08,2025,46,59.44,206647
1612,3946,3,1,2,1,40,5,25.43219811783167,7.84947082354733,116,0,0,0,5.3,0.99,1986,58,36.28,157785
1937,4508,3,1,1,2,12,4,81.92551048714611,10.659679907246684,879,0,1,0,24.1,1.09,2014,53,51.22,174955
1723,4411,3,1,1,2,36,5,87.98219139516952,15.265848873859705,281,0,1,0,4.6,1.2,1990,65,73.75,133834
1474,2804,3,1,3,2,45,4,52.54349125456928,6.388789054186468,983,0,1,0,11.0,1.47,1981,37,45.4,135649
2096,5444,3,1,2,0,23,4,24.433994078646613,8.96751582598168,635,0,1,0,3.0,1.12,2003,88,69.71,181106
2311,5391,4,1,1,1,47,5,11.294320841117356,8.646989757101728,640,0,0,0,24.9,1.23,1979,15,31.78,149864
2168,5007,4,1,2,2,31,6,8.717946783183116,9.133480233024912,270,0,1,0,13.1,1.2,1995,70,41.99,172524
2252,4648,4,3,1,3,11,8,71.90774473538556,12.039849159193947,508,0,1,0,15.3,1.38,2015,29,28.89,227013
1391,2876,2,1,2,2,10,4,42.0118727847725,11.08565311863805,839,0,1,0,2.6,1.58,2016,87,51.09,160837
1872,4369,3,2,2,1,3,6,90.53598742778703,11.697533005212849,477,0,1,0,19.0,1.12,2023,11,61.7,164962
1653,4485,2,2,1,2,14,5,73.96713007267637,10.060991009507196,287,0,1,0,6.0,1.13,2012,82,51.13,194353
1630,3796,3,3,1,2,16,6,19.12604179145867,7.355801360110284,957,0,0,0,22.6,1.36,2010,46,68.41,183803
1819,4758,3,1,1,2,10,5,61.377741881569904,7.77062927748004,329,1,0,0,5.9,1.3,2016,29,38.76,236022
2397,5606,4,1,2,1,29,7,43.550545439815934,11.492519414933184,932,0,1,0,5.6,1.48,1997,35,53.38,187126
2609,7829,3,3,2,2,10,7,57.72497307686131,10.341663796826596,951,0,0,0,1.9,1.29,2016,38,42.09,283787
1637,5261,2,3,1,2,12,6,73.80691233385171,12.520414812157677,218,0,1,0,12.3,1.15,2014,10,55.43,212606
1926,5386,2,2,1,3,30,6,80.61958810037908,10.586524206493594,255,0,1,0,14.6,1.29,1996,44,57.56,214290
2307,4888,4,1,2,1,41,6,84.37373264067243,7.63397001333575,883,0,1,0,2.6,1.37,1985,79,58.74,181030
1194,2121,3,1,3,2,1,4,25.397487457202477,8.95619637163369,786,0,1,0,19.6,1.32,2025,68,33.94,138505
1764,4960,2,2,2,3,5,5,3.1115599917357684,11.12962829936586,564,0,1,0,11.9,1.28,2021,78,36.65,184731
1872,5090,2,3,1,1,20,6,73.92947351647732,11.420664992477253,203,1,1,0,13.6,1.36,2006,42,39.44,211239
3194,8694,4,2,1,3,8,7,10.63437262557746,11.710217264309376,703,0,1,0,11.6,1.38,2018,60,46.42,305581
1558,4711,2,2,1,2,43,5,31.49195886129677,7.902951773589613,797,0,1,0,10.6,1.41,1983,87,51.31,151612
2339,5452,4,1,3,0,12,6,0.3817134124347143,7.59793966784615,894,1,1,1,14.4,1.3,2014,21,60.62,233715
2369,4947,4,2,1,1,1,7,68.166948240162,9.62039496050516,601,0,1,0,4.7,1.17,2025,29,37.28,217705
1336,3246,2,1,2,2,20,4,16.713201147122124,12.880147033066908,792,0,1,0,5.4,1.22,2006,62,25.98,157489
2232,6714,2,1,1,0,28,5,65.52824096916582,8.612263358383963,781,1,0,0,21.7,1.38,1998,97,82.34,183096
2815,6127,5,2,2,2,43,8,99.17426171678387,10.909943781201946,798,0,0,0,23.7,1.08,1983,52,33.03,215852
2210,6186,3,2,2,1,37,5,7.267087161001628,10.91012227787793,274,0,0,0,10.0,1.26,1989,98,62.54,217777
1596,3635,3,1,2,2,47,5,7.707801195146069,11.521545499341226,833,1,0,0,7.5,1.14,1979,59,50.47,165940
2809,7104,4,1,1,0,37,5,34.03800926666749,13.32888050789642,844,0,0,0,16.5,1.2,1989,38,53.77,202137
1805,2897,4,2,1,2,12,7,86.6386514251342,13.123812849532213,773,0,1,0,10.8,1.39,2014,66,49.98,178600
2829,5880,5,1,1,3,37,7,21.552986879133183,8.810788332320989,520,0,0,0,1.6,1.23,1989,48,44.23,232149
2985,8285,4,2,3,3,49,6,36.03778199303476,5.804209117382652,233,0,1,0,4.7,1.21,1977,65,56.96,289540
1671,3514,3,1,2,2,49,5,6.8505406626979575,8.642941329270515,490,0,1,0,18.2,1.0,1977,52,43.42,117076
1656,4150,2,2,2,1,44,4,76.31552912588894,10.15134458809447,835,1,0,0,16.8,1.31,1982,59,67.49,173580
2188,5149,4,2,2,2,28,6,40.83063427594511,9.276709444628686,600,0,1,0,1.7,1.3,1998,32,58.53,217996
1959,4244,3,1,2,0,47,5,75.92487330608428,13.935797885856273,764,0,1,0,6.3,1.52,1979,53,58.99,144191
1582,2674,3,1,1,0,15,5,90.3607844346795,10.037560608632898,132,0,0,0,6.5,1.15,2011,47,42.39,101202
2538,5102,4,1,3,1,6,7,23.27631471012888,11.307423760512387,154,0,1,0,17.1,1.23,2020,93,46.45,197003
1374,3406,2,1,1,1,44,4,80.73960303399514,10.434428619294687,618,0,1,0,1.5,1.24,1982,32,32.18,144564
2201,5710,3,3,1,2,20,7,5.909389007825327,9.306733633018355,855,0,1,0,3.5,1.44,2006,54,44.7,249692
1487,3620,2,1,2,2,14,4,89.88473881802473,6.150376644074667,924,1,1,0,20.2,1.19,2012,61,34.45,173102
2660,7324,3,2,1,1,2,5,65.07685475587473,9.84276472291703,737,0,1,0,5.3,1.24,2024,89,69.7,248253
1568,3825,2,1,1,1,9,5,87.42267241383516,16.509294586308254,111,0,1,0,16.7,1.29,2017,59,50.76,153083
1707,4516,2,2,2,3,37,5,0.0188399556581897,7.511083200324332,627,0,0,0,6.7,1.23,1989,17,52.56,180815
2044,6220,2,2,1,1,20,5,16.90810703559925,6.370253911251551,819,0,1,0,3.4,1.13,2006,94,46.62,222341
1660,3153,3,2,2,1,26,5,38.975938742649205,13.87277860513782,654,1,1,0,6.8,1.23,2000,10,52.96,186634
2228,5341,4,2,1,1,29,7,37.950290337471856,11.48416593973867,472,1,1,0,18.3,1.36,1997,17,86.97,203995
2490,6960,3,2,1,2,1,6,22.673038292351062,10.374839761046871,583,0,1,0,21.5,1.05,2025,38,45.5,229560
2053,2588,5,1,1,2,35,8,38.16119398672001,12.725347724734116,746,0,1,0,20.9,1.22,1991,14,40.24,142091
1943,5276,3,3,1,1,6,6,12.884871200025485,8.336996114087807,327,0,1,0,10.5,1.09,2020,95,57.95,215463
2029,5389,3,2,2,0,37,6,41.27611292660261,9.786810478170697,722,0,1,0,17.0,1.38,1989,56,12.11,162999
2610,6172,4,3,1,2,5,9,80.23543291592642,11.910308233801649,406,0,1,0,5.9,0.97,2021,43,50.96,255260
1575,3144,3,1,2,2,33,5,47.90700631033512,14.220708735640793,556,0,1,0,8.0,1.12,1993,74,44.42,140807
1917,3019,5,2,1,1,49,8,1.8000088945214987,7.662911370686784,259,0,1,0,22.5,1.26,1977,64,35.12,153740
1903,5782,2,3,2,3,14,5,42.14440415792474,12.56146891712079,430,0,1,0,1.3,1.43,2012,52,57.62,238716
2493,5445,5,1,3,1,12,8,2.717501609084416,10.763678121681968,875,0,1,0,3.1,1.19,2014,83,50.81,214506
1941,5375,2,1,2,1,42,3,96.62434107067982,10.326122134858831,324,1,0,0,6.0,1.12,1984,39,22.96,199254
2354,5519,4,2,1,3,20,7,12.745395942286898,9.984541555490525,828,0,1,0,1.6,1.48,2006,91,40.3,225125
1923,3979,3,2,1,1,24,6,70.76883263306188,7.230706758610793,603,0,1,0,5.4,0.98,2002,26,6.68,161019
2595,5348,5,2,1,2,43,7,97.27763228920858,11.926177996426064,555,0,1,0,15.0,0.87,1983,35,54.4,194881
1837,5439,2,1,2,1,34,4,82.60390516665719,8.435461959347345,144,1,1,0,11.1,1.27,1992,17,54.25,196807
1700,3928,3,2,1,1,25,5,69.93153751262037,7.840618594995306,313,0,1,0,22.4,1.12,2001,56,38.1,153803
3175,7798,5,1,1,3,29,6,83.9460909500767,11.770917917800675,158,0,1,0,20.6,1.05,1997,85,58.1,260009
2188,5710,3,1,2,1,39,5,98.17986932606276,11.578268050293357,743,0,0,0,9.2,1.31,1987,81,30.76,184820
1804,3213,3,1,1,2,31,6,62.13444972535296,10.158000167222124,715,0,1,0,7.2,1.24,1995,98,35.5,154141
2212,5984,3,2,2,1,47,6,55.918480682932646,12.159087241623284,294,0,0,0,10.1,1.12,1979,55,56.26,189659
1603,3537,3,2,1,1,43,6,62.82381104632814,12.851873162958231,588,0,1,0,15.2,1.01,1983,77,39.67,153124
2301,6180,3,2,1,0,23,5,53.2675886761555,12.61644815565108,256,0,1,1,7.4,1.33,2003,42,49.06,235984
2543,6737,3,1,2,2,44,4,63.50891059097188,8.94344205319604,709,0,1,0,16.0,1.3,1982,10,41.55,191924
1799,3768,4,3,1,1,38,7,44.98422079725592,12.028209862559423,325,0,1,0,10.8,1.19,1988,28,43.84,182225
2156,6445,2,1,2,2,20,3,21.84431828833071,10.423281955017298,511,0,1,0,14.2,1.48,2006,40,44.49,188762
2073,5619,3,2,1,1,23,6,12.024722651167563,13.451815540704748,304,0,1,0,11.5,1.04,2003,89,39.4,229360
2863,6233,5,2,1,3,45,8,6.834093553226039,9.752543327465654,178,0,1,0,8.1,0.97,1981,23,54.54,243240
2911,7845,4,1,2,1,16,6,26.331578375320007,9.28705672526334,223,0,1,0,23.8,1.1,2010,62,40.58,235039
1677,4631,3,2,2,2,42,5,4.612356433573384,8.772406246314247,570,0,1,0,19.3,1.19,1984,57,50.24,152205
1754,3869,3,1,2,2,8,5,56.71707799193856,10.37857578847111,317,0,1,0,4.4,1.24,2018,78,39.07,174954
1702,3665,3,2,1,2,21,7,28.382844702352028,10.933450935184208,615,0,1,0,21.8,1.16,2005,71,26.99,155668
1386,3776,2,2,2,2,1,4,82.45348080870322,10.97192456585454,701,0,1,0,12.7,1.25,2025,75,63.69,167479
1907,4884,3,1,1,2,8,6,7.424087298838645,10.698345080623714,203,0,0,0,22.5,1.01,2018,73,57.49,182148
1996,5511,3,3,1,2,29,8,22.635149434148595,11.342074025359612,492,0,1,0,20.2,1.42,1997,79,84.33,199957
2181,5415,3,1,3,1,32,4,73.02461470901459,9.554916328171204,730,0,0,0,11.2,1.19,1994,72,34.34,193885
2148,6240,2,2,1,0,38,5,59.88082963834914,8.254969368816257,744,0,1,1,1.5,1.37,1988,82,46.87,272418
2416,5019,5,3,3,3,5,9,6.449127124916753,8.080344006172705,923,0,1,0,7.4,1.25,2021,42,48.07,248361
2991,7180,5,2,1,2,47,8,87.72394571622004,11.950102190606938,707,0,1,0,14.0,1.27,1979,50,64.84,243672
1894,4603,3,1,1,2,22,5,87.72617628261796,10.94064462105658,533,1,1,1,16.2,1.29,2004,98,42.39,234439
3247,9080,3,3,2,1,47,7,33.040800387577384,6.288324458099352,430,0,0,0,7.2,1.27,1979,57,32.43,310503
2289,5938,3,2,2,1,34,6,34.04058433495647,12.193506853599882,242,0,0,0,4.3,1.3,1992,22,68.12,212819
1834,3714,4,1,2,1,1,6,98.90283583501738,13.76087029280531,899,0,1,0,21.0,1.4,2025,82,45.25,146009
1628,3393,3,1,2,2,26,5,62.61761715931382,8.568166298482934,639,1,1,0,24.6,1.23,2000,86,63.18,143379
1793,5723,2,2,2,1,43,5,53.13165205680591,10.672320092552082,377,1,0,0,13.6,1.31,1983,40,61.43,201615
2237,4664,4,2,2,1,10,7,83.81521835519244,9.05308381273528,332,0,0,1,5.1,1.19,2016,84,49.55,239762
2685,6071,4,2,2,1,30,7,28.52903383573164,11.256613850942331,628,0,1,0,7.5,1.42,1996,77,47.39,251947
2595,5709,4,3,1,0,18,7,42.91825933963569,7.66798222184955,670,0,0,0,1.4,1.1,2008,13,44.13,263091
2295,4890,4,2,1,2,17,6,26.777667548833417,9.85710868580244,189,0,1,0,22.9,1.47,2009,28,49.77,184912
1623,3729,3,1,1,1,26,6,78.91608465887315,11.96262825599756,591,0,1,0,3.8,1.19,2000,79,62.95,145863
1301,2727,3,1,3,2,8,5,57.3349345635218,12.47142347859768,298,0,0,0,14.8,0.99,2018,91,38.05,137584
1942,4330,4,1,3,1,47,5,65.88250701400705,10.852991637839375,461,0,0,0,7.6,1.22,1979,22,51.63,172376
2290,6284,4,2,1,1,40,6,25.230724983940654,9.32190939358052,540,1,1,0,14.3,1.1,1986,32,33.22,228082
1899,5321,2,1,2,0,49,3,22.02253013773151,6.814797831312783,125,1,1,0,16.6,1.33,1977,92,35.09,163230
1272,3131,2,2,3,0,12,6,48.83746289829387,8.484900577521437,124,0,1,0,20.9,1.1,2014,84,49.54,129105
2155,5259,3,2,1,1,27,6,73.75657490928268,9.06145319049044,493,0,1,0,6.0,1.13,1999,10,20.6,195591
2537,5577,4,3,2,1,8,9,52.523975752016014,8.604532433396772,606,0,1,0,1.3,0.92,2018,97,80.91,259588
2178,3674,5,1,3,2,25,7,3.2645677545668605,10.11910593662723,400,0,1,0,4.3,1.13,2001,63,32.1,172649
1822,5230,2,2,1,1,46,5,86.85515063202888,9.31622452765743,438,1,1,0,22.6,0.84,1980,80,49.4,178684
1975,5087,3,1,2,2,4,5,6.468689351513158,10.344242744670886,366,1,1,0,22.0,0.96,2022,98,67.52,221312
1536,3285,3,2,1,2,33,6,95.58244837207522,12.405254602095328,560,0,0,0,15.3,1.31,1993,94,37.06,141799
2706,5536,5,1,3,2,1,6,2.5141958277272725,9.187075557541275,792,0,1,0,15.4,1.32,2025,24,15.46,205708
2442,5841,4,1,3,0,19,7,69.44504561307087,7.23426604549155,555,0,1,0,17.0,1.26,2007,74,43.33,189901
2624,6624,4,2,3,1,31,8,8.220706371178165,8.59658480375025,459,0,1,0,5.2,1.05,1995,85,36.88,230162
2393,6580,3,1,1,1,16,5,91.06765794351396,11.167176939946543,167,1,1,0,22.9,1.19,2010,80,15.85,229771
1571,2933,3,1,2,1,14,6,46.443323622554274,11.355887569905349,962,0,0,0,11.1,1.2,2012,24,54.27,145270
1578,3593,3,2,2,3,48,7,13.752377481701538,10.812170394032467,511,0,1,1,10.2,1.03,1978,30,53.11,195922
1936,5772,2,2,1,1,5,5,34.08156997898466,12.601474611776032,590,0,0,0,13.5,1.43,2021,28,67.13,205091
2467,5770,4,2,2,1,41,6,16.482467534676204,9.62727386024603,932,0,1,0,2.1,1.33,1985,69,33.19,207634
2559,5772,4,2,1,2,26,7,17.058191155709,14.104332296018647,148,0,0,0,5.0,1.17,2000,98,26.01,234229
3920,10779,5,2,2,2,28,8,94.81083201714422,11.636374272211814,786,0,0,0,18.7,1.2,1998,42,43.9,333883
2642,5856,5,1,1,2,2,6,44.52461122847882,4.953025059584245,663,0,0,0,3.0,1.23,2024,58,48.67,227260
2377,6703,3,1,1,0,6,4,78.88022639053595,13.601317259927132,201,0,1,0,15.5,0.89,2020,44,63.82,206366
2713,6431,4,1,1,1,9,6,63.960556117768185,8.466026779728557,315,0,1,0,6.9,1.16,2017,53,71.16,243907
2697,5977,4,3,2,2,33,7,67.64263623383923,7.931797621086138,537,0,1,0,10.3,1.1,1993,20,68.22,251024
2000,4527,4,2,1,0,41,7,13.169343847203852,11.047542219665788,799,0,1,0,7.9,1.05,1985,81,54.15,185957
2174,6138,3,2,2,1,25,7,23.418444681548568,6.523639055326912,668,0,1,1,9.5,1.16,2001,87,61.99,239528
1693,3840,3,2,1,0,48,7,78.67503351544369,8.609061537356773,658,0,1,0,18.3,1.47,1978,83,40.39,112605
1672,4644,2,3,1,0,13,5,97.0766206474783,13.114197081248417,258,0,1,1,8.1,1.3,2013,75,52.53,229135
2396,4271,5,1,2,1,9,8,26.26756425986517,11.112435157995003,588,0,1,0,14.6,1.11,2017,55,32.13,189542
1941,5122,3,2,2,1,13,5,27.156876475103985,11.62447956187844,785,0,1,0,12.4,1.29,2013,18,50.94,211140
2761,8471,3,2,1,2,31,5,47.289713281090485,8.686178799005052,341,0,0,1,16.9,1.41,1995,12,51.33,304664
