length_cm,width_cm,height_cm,weight_kg,surface_area_sqcm,length_inches,weight_lbs,sensor_temp_c,sensor_vibration_hz,random_noise_1,random_noise_2,passed_inspection
36.72,20.71,12.13,8.58,2923.9,14.48,19.03,41.14,20.84,67.25,0.66,0
51.97,32.89,20.7,34.74,6929.63,20.56,76.91,85.46,23.69,92.2,0.94,1
57.38,32.85,23.53,44.18,8015.43,22.76,97.33,100.92,24.41,65.13,-1.61,1
51.71,30.8,20.64,33.7,6597.7,20.31,74.26,85.33,26.38,88.63,-0.76,1
48.84,30.32,16.44,24.21,5552.43,19.34,53.25,68.67,24.97,75.16,-0.77,1
46.99,29.92,18.66,25.49,5686.82,18.5,55.99,64.29,24.49,20.85,-0.94,0
35.21,18.73,12.13,7.88,2629.26,13.85,17.23,38.82,12.41,91.22,0.83,0
42.8,25.01,18.13,19.27,4604.28,16.94,42.23,55.41,19.31,15.98,-0.19,0
45.39,26.29,18.71,20.97,5071.23,17.94,46.25,59.9,19.19,58.06,-0.26,0
60.57,35.04,22.82,48.4,8632.17,23.69,106.55,108.29,29.1,22.79,-2.0,1
53.44,35.59,20.6,39.07,7466.13,21.19,86.18,93.35,31.22,11.05,0.64,1
32.37,20.23,11.36,7.79,2499.47,12.88,16.86,35.3,21.75,47.98,-1.24,0
53.24,29.42,21.2,34.14,6632.07,20.9,75.33,84.48,22.92,36.55,0.06,1
46.15,29.53,19.89,27.67,5730.26,18.21,61.16,75.23,23.18,53.74,0.28,0
43.23,30.18,15.81,20.5,4925.16,17.07,44.8,59.91,25.68,61.95,1.36,0
56.12,35.73,23.2,45.98,8284.98,22.12,101.43,107.87,27.0,13.94,-1.31,1
60.31,33.15,23.33,47.92,8372.88,23.69,105.9,107.45,25.47,21.07,-3.02,1
59.31,34.62,22.54,46.3,8334.69,23.28,101.84,97.73,26.22,60.28,0.18,1
41.61,27.5,16.48,18.87,4558.09,16.38,41.93,58.18,22.34,40.89,1.8,0
46.91,26.73,17.21,21.57,5046.99,18.58,47.63,64.55,23.43,75.63,1.24,0
53.31,32.88,20.49,36.02,7032.57,21.04,79.27,89.74,23.9,68.71,0.21,0
59.76,37.4,22.11,49.33,8771.77,23.49,108.75,109.02,32.37,86.1,-0.49,1
45.21,25.27,21.03,23.74,5251.37,17.88,52.45,64.24,19.92,72.32,0.81,0
48.14,28.77,19.31,26.47,5725.04,18.67,58.37,66.61,21.75,48.69,-0.97,0
38.94,16.88,14.53,9.53,2951.4,15.44,21.12,41.96,7.06,70.57,0.48,0
38.04,20.77,15.54,12.0,3425.78,14.8,26.28,42.28,13.87,34.78,0.51,0
58.13,34.37,23.08,45.76,8259.28,22.85,100.91,99.66,28.86,37.57,1.06,1
63.56,35.64,25.09,56.9,9505.86,24.91,125.16,120.9,26.61,81.01,2.76,1
49.28,32.83,20.63,33.26,6627.34,19.27,73.3,84.34,23.8,50.18,0.39,1
60.04,33.16,25.15,50.82,8672.84,23.75,111.86,110.2,22.89,81.85,-0.51,1
53.62,31.29,20.65,33.32,6868.62,21.06,73.31,79.29,25.77,84.02,-0.03,1
43.55,26.39,16.56,19.57,4634.48,17.18,43.4,59.66,21.85,87.18,-1.77,0
53.61,35.05,21.03,40.15,7486.45,21.1,88.73,94.66,27.56,92.5,-0.69,1
65.38,36.36,22.7,52.92,9364.72,25.79,116.79,113.98,27.91,48.79,-0.41,1
49.64,32.11,17.58,27.86,6049.41,19.55,61.2,72.74,25.75,38.7,-0.52,1
65.65,39.41,28.31,73.05,11114.69,25.72,160.98,140.22,27.35,62.4,0.15,1
23.8,12.32,11.99,2.81,1452.17,9.47,6.44,20.06,10.79,43.41,-0.82,0
58.22,35.86,22.91,47.44,8504.17,22.87,104.62,105.45,27.34,64.1,1.12,1
50.87,30.92,21.21,32.81,6610.76,19.87,72.8,79.71,25.84,73.5,0.0,0
47.01,27.01,19.27,25.34,5393.97,18.47,55.95,69.28,23.11,71.96,-0.01,0
50.92,30.69,24.99,39.51,7203.18,20.2,87.15,85.49,23.26,43.71,-0.33,1
30.12,17.3,13.73,7.79,2356.72,11.94,17.12,32.14,11.31,25.02,0.16,0
47.8,28.91,18.93,26.52,5693.4,18.79,58.49,72.23,23.14,48.75,0.83,0
53.57,33.47,20.0,35.28,7061.09,21.06,77.76,84.08,26.77,22.83,-0.87,1
64.78,42.04,23.5,63.74,10462.51,25.47,140.66,133.49,32.68,90.11,-0.66,1
44.82,24.41,18.23,20.19,4723.34,17.85,44.71,58.89,18.39,41.13,-0.3,0
41.92,29.42,15.63,18.66,4702.69,16.54,40.98,56.6,22.18,23.9,-1.35,0
44.98,23.09,15.86,16.83,4254.38,17.75,36.83,58.97,19.84,12.29,-0.82,0
59.15,35.19,22.69,47.11,8450.57,23.39,103.5,99.61,26.43,68.12,-0.48,1
53.29,33.15,19.69,34.6,6933.62,21.0,76.38,78.87,27.02,67.32,0.87,1
44.7,27.38,20.41,25.34,5396.9,17.57,55.65,61.59,20.48,40.65,0.26,0
55.13,31.83,23.38,41.25,7587.09,21.69,90.51,97.39,22.81,16.45,0.19,1
50.97,30.17,20.38,31.15,6389.95,20.06,68.75,76.5,24.17,46.87,0.85,1
59.69,34.83,26.09,54.82,9094.84,23.49,121.36,121.21,24.31,38.01,-0.14,1
42.98,24.61,17.31,17.77,4465.65,16.99,39.17,54.01,20.16,70.94,0.39,0
46.72,29.73,17.4,24.48,5450.46,18.4,54.13,67.3,21.32,64.52,-0.1,0
46.08,28.36,20.72,27.37,5711.79,18.21,60.36,74.33,21.09,42.81,0.27,1
35.36,19.83,14.95,10.33,3060.17,13.92,22.76,46.71,18.22,29.61,-0.58,0
52.96,33.58,19.63,35.07,6951.98,20.86,77.49,90.63,25.12,98.92,-2.44,0
52.61,32.18,20.76,34.52,6907.9,20.51,76.05,87.14,23.66,50.86,-0.13,1
50.05,31.66,18.71,30.1,6237.95,19.8,66.42,79.24,26.5,71.94,1.42,0
47.65,29.85,16.99,24.07,5470.2,18.8,53.14,68.79,24.7,22.65,0.93,0
35.85,19.85,15.73,10.93,3178.72,14.21,23.96,44.13,14.67,53.7,0.97,0
45.79,26.36,21.18,26.09,5466.38,17.74,57.71,66.29,19.38,12.48,1.24,0
46.57,29.44,16.53,22.31,5255.46,18.54,49.16,61.58,25.39,55.49,0.09,0
41.98,26.41,17.64,18.84,4641.74,16.51,41.39,56.19,22.45,96.76,0.2,0
48.39,28.99,18.38,25.0,5651.67,19.16,55.23,68.2,23.52,44.58,-0.62,0
54.04,32.66,20.89,37.16,7151.8,21.17,81.75,86.47,25.0,13.51,-0.32,0
68.86,43.87,26.66,79.89,12038.8,27.17,176.14,153.05,36.28,12.79,0.62,1
51.75,29.86,19.4,30.86,6265.02,20.27,68.03,81.3,26.95,44.92,1.2,0
52.58,32.64,21.1,35.17,7035.11,20.64,77.76,84.53,25.09,24.4,-0.14,1
49.26,29.15,18.46,27.35,5787.16,19.58,60.38,76.65,20.89,12.1,-0.45,1
30.81,18.05,12.73,7.19,2353.51,12.11,15.84,29.85,15.71,78.06,0.0,0
49.73,32.04,19.82,31.53,6430.31,19.6,69.68,77.04,25.09,51.27,0.6,0
50.6,32.01,19.88,31.94,6527.44,20.01,70.68,76.65,20.93,36.03,-1.44,1
74.63,46.41,28.49,98.88,13839.82,29.43,218.1,172.76,38.5,91.01,-2.3,1
48.08,31.46,18.37,27.76,5945.02,18.94,61.19,71.52,24.35,20.45,-0.55,0
53.02,31.85,22.34,38.27,7171.74,20.91,84.12,87.98,23.69,96.03,-1.22,1
49.65,31.16,20.61,31.94,6431.35,19.79,70.21,82.6,24.63,38.26,-0.51,1
38.31,22.37,13.86,11.95,3397.74,15.08,26.29,46.89,18.06,89.96,-0.15,0
61.43,37.51,24.72,56.77,9494.63,24.2,125.04,114.2,30.31,64.26,-0.45,1
57.52,34.25,24.13,47.52,8371.9,22.75,104.73,108.6,24.74,84.4,1.45,1
57.91,34.94,20.66,41.96,7894.12,22.91,92.51,100.34,29.13,98.56,0.33,1
40.91,25.73,17.18,17.23,4384.51,16.22,38.09,55.14,19.2,35.96,0.3,0
64.03,36.78,24.62,57.3,9674.51,25.27,126.31,119.3,29.63,96.5,0.62,1
35.98,25.77,15.25,14.51,3731.09,14.05,32.09,43.32,21.96,45.05,-1.14,0
55.87,31.51,21.2,37.41,7237.95,22.16,82.49,88.47,22.19,44.7,1.04,1
71.9,40.71,26.05,76.18,11708.32,28.19,167.56,152.21,33.93,40.63,-0.08,1
40.09,26.37,13.6,14.39,3916.7,15.82,31.53,54.99,21.14,58.73,0.67,0
44.34,28.19,17.81,22.43,5085.91,17.38,49.41,67.01,23.72,23.87,-1.07,1
51.0,31.85,20.79,33.49,6708.04,20.07,73.59,79.52,25.37,59.83,-1.55,1
44.97,28.24,16.63,20.72,4973.22,17.74,45.81,57.48,26.42,58.75,0.82,0
34.49,20.67,14.76,10.62,3048.45,13.61,23.72,40.76,14.91,78.57,0.38,0
50.69,28.62,17.78,25.3,5740.05,20.0,56.03,65.61,21.89,85.03,-0.9,0
39.38,23.78,15.65,14.86,3835.07,15.66,32.72,50.3,18.29,49.64,-0.87,0
54.74,31.49,20.08,33.75,6887.33,21.59,74.71,83.85,23.99,37.21,1.13,1
40.81,26.43,15.34,17.07,4225.21,16.04,37.65,51.73,23.0,33.34,-1.19,0
65.5,39.01,26.27,67.35,10595.51,25.88,148.42,128.44,26.54,27.52,1.64,1
42.17,23.65,15.58,15.66,4034.64,16.72,34.4,54.07,16.12,15.19,-0.9,0
46.78,27.42,18.13,23.76,5264.3,18.29,52.31,64.33,18.96,40.82,0.64,0
58.14,35.71,24.76,52.24,8801.82,22.95,115.09,105.68,28.8,34.32,-0.33,1
37.69,21.49,14.21,12.02,3296.14,14.91,26.53,35.96,19.95,96.98,0.6,0
52.27,29.72,22.16,33.51,6729.0,20.55,73.92,81.95,21.4,60.19,-0.54,1
63.07,38.33,23.53,56.25,9616.58,24.97,124.02,123.28,30.06,41.25,-0.16,1
33.93,20.85,14.36,9.85,2994.37,13.34,21.79,43.94,15.89,62.24,0.04,0
51.85,30.09,22.9,35.74,6872.54,20.42,79.04,83.0,23.98,22.53,-1.0,1
52.6,30.62,17.33,28.17,6123.94,20.69,62.3,74.08,23.16,49.96,0.74,1
57.82,35.16,21.93,44.22,8132.67,22.76,97.18,100.72,28.18,66.36,-0.51,1
37.63,19.68,15.92,11.88,3290.62,14.71,25.69,41.37,15.64,54.0,-0.23,0
36.8,19.26,14.41,9.84,3026.6,14.34,21.88,42.15,14.98,46.16,-0.99,0
55.22,31.69,22.64,39.33,7436.13,21.9,86.43,93.66,23.92,99.45,-2.56,1
52.97,31.36,20.28,32.98,6744.72,20.77,72.67,85.64,26.35,89.23,-0.19,0
52.5,32.12,21.13,35.18,6947.77,20.57,77.33,83.92,19.36,66.11,2.41,1
53.46,35.03,21.15,38.94,7492.87,20.83,85.48,88.89,29.31,61.24,0.78,1
43.2,27.64,19.03,22.23,5071.35,16.94,49.12,58.6,19.57,65.86,-0.02,0
52.32,31.07,21.31,35.17,6820.59,20.47,77.7,81.59,19.86,28.12,-0.26,1
52.93,31.72,21.68,35.92,7027.4,21.0,79.08,84.77,25.08,45.56,0.02,1
42.86,23.71,16.52,18.11,4243.28,16.97,39.4,57.12,20.56,13.55,0.55,0
68.66,41.16,26.73,75.78,11526.11,26.96,166.97,148.61,31.63,52.8,-1.18,1
54.74,32.27,21.25,37.62,7233.97,21.78,83.01,86.52,26.77,58.87,1.11,1
38.09,23.5,15.83,13.73,3744.94,15.09,29.98,51.43,21.16,30.5,0.72,0
56.57,32.28,21.99,40.52,7565.38,22.24,89.36,93.06,27.15,96.76,0.72,1
40.25,25.19,16.54,16.48,4198.78,15.6,36.33,51.91,22.72,91.85,0.44,0
57.87,37.79,26.26,57.49,9411.21,23.01,126.86,113.04,29.92,74.99,0.02,1
61.59,36.73,25.94,59.97,9627.62,24.11,132.23,113.96,27.59,58.0,0.67,1
41.79,25.88,16.23,17.5,4366.66,16.29,38.4,57.09,17.15,88.3,0.59,0
59.63,37.16,25.66,57.43,9397.73,23.58,126.84,118.83,27.56,21.76,-0.35,1
54.13,31.67,21.04,35.72,7053.7,21.55,78.71,85.32,22.64,81.15,-0.57,1
58.22,35.38,20.23,41.66,7900.29,23.06,91.83,96.76,33.14,21.23,0.1,1
68.97,41.41,26.08,75.35,11485.38,27.21,165.93,147.14,32.16,81.48,1.55,1
47.55,28.72,16.21,21.83,5203.93,18.78,48.03,59.54,23.74,34.82,-1.24,0
42.46,23.93,16.46,17.63,4203.49,16.8,38.69,53.54,19.2,88.94,-1.47,0
41.1,24.71,16.47,17.08,4200.79,16.26,37.63,55.77,19.04,94.96,0.16,0
41.84,26.1,19.25,20.74,4793.43,16.5,46.07,54.6,22.48,23.39,0.05,0
49.23,32.44,20.18,32.55,6498.82,19.39,71.48,79.32,24.35,51.64,0.17,1
53.41,33.97,21.04,38.65,7297.88,21.02,84.88,85.04,27.23,98.29,0.24,1
52.77,35.97,22.35,42.73,7757.76,20.7,94.5,94.89,26.9,53.51,-0.22,0
58.27,33.43,19.99,38.16,7543.52,22.91,84.08,92.3,24.14,87.72,1.49,1
50.13,31.82,20.41,32.19,6530.58,19.57,70.83,73.88,23.58,62.99,-1.6,0
64.54,39.09,26.97,67.91,10610.39,25.4,149.92,136.62,29.44,43.78,-0.83,1
47.35,32.79,16.72,25.93,5770.37,18.54,57.05,66.8,26.85,35.72,-0.1,1
77.2,44.7,32.6,112.81,14857.5,30.28,249.07,194.7,31.49,28.29,-1.64,1
56.26,32.07,23.01,41.61,7681.75,22.17,91.87,95.54,20.96,78.56,-0.18,1
41.43,23.66,15.95,14.96,4040.57,16.45,32.89,54.55,17.88,44.79,1.66,0
39.29,19.33,16.67,12.85,3462.88,15.56,28.75,43.8,9.92,56.01,0.02,0
54.82,31.84,25.34,44.54,7882.76,21.43,98.07,97.49,23.88,54.31,0.23,1
47.77,27.14,19.38,25.4,5495.97,18.71,56.15,69.98,20.33,61.96,-1.26,1
57.14,34.58,23.23,46.44,8201.99,22.59,102.45,103.52,23.51,87.9,-0.62,1
54.73,33.52,21.2,39.32,7427.33,21.45,86.95,91.5,25.65,98.27,-0.38,1
49.27,33.32,18.43,30.49,6336.59,19.38,67.53,74.9,25.93,46.68,-0.32,1
41.53,26.82,17.86,19.86,4666.89,16.41,43.78,54.57,21.21,84.48,1.28,0
34.85,19.76,12.66,7.88,2759.71,13.62,17.23,37.6,18.09,78.81,0.56,0
45.53,25.52,18.32,21.51,4930.34,17.94,47.51,59.02,15.17,61.62,-1.11,0
58.56,36.12,22.71,48.14,8510.99,22.92,106.0,95.86,28.61,96.04,0.25,1
52.14,28.64,21.57,32.36,6470.44,20.47,71.74,81.85,20.4,28.04,0.5,0
37.54,26.19,15.52,14.62,3937.45,14.81,32.25,50.29,22.39,19.83,1.14,0
51.73,33.4,22.25,37.9,7233.57,20.21,83.48,79.78,26.04,86.86,1.58,0
53.85,31.37,20.78,35.63,6917.7,21.25,78.59,82.81,22.62,49.52,-1.02,1
41.16,21.27,16.06,14.04,3774.32,16.2,30.69,51.64,14.73,86.23,-0.81,0
51.54,33.63,19.15,33.53,6734.17,20.35,73.72,87.63,25.83,90.38,-1.26,0
50.58,30.12,19.57,29.82,6199.48,19.94,65.99,76.32,25.5,15.62,-0.23,0
38.57,25.62,15.99,15.82,4035.16,15.32,34.74,47.65,20.23,89.51,0.47,0
