area,bedrooms,age,price
1980,3.0,30,437500
2862,5.0,42,498400
864,1.0,17,181700
3368,5.0,5,669500
2167,2.0,29,385200
1952,4.0,4,407400
2827,,10,548000
3495,5.0,17,628100
2295,4.0,10,408100
3934,5.0,17,641800
1962,3.0,20,423300
2322,4.0,24,436200
3440,5.0,5,629100
1191,1.0,34,204600
2498,3.0,6,480600
1218,1.0,2,322500
3136,5.0,13,590500
1178,2.0,43,196000
2596,4.0,43,444100
3078,5.0,48,560200
3865,5.0,11,661500
2888,5.0,47,528200
3899,5.0,23,600900
2982,4.0,16,525000
1000,2.0,31,220700
2663,,11,512800
1579,3.0,16,292900
3777,5.0,8,624900
3904,5.0,4,684300
3919,5.0,40,620900
1302,3.0,4,287400
3254,5.0,25,577900
2551,3.0,3,428300
1604,2.0,32,309500
2946,4.0,3,536400
3531,4.0,27,629100
2695,3.0,29,404100
3573,5.0,32,584500
2370,4.0,50,424300
1760,2.0,19,297500
3460,5.0,21,606400
2285,3.0,5,428400
3490,,18,623500
1828,3.0,28,318800
1302,2.0,42,236600
3614,,22,608300
1197,2.0,21,260700
1670,3.0,6,337800
3642,5.0,1,663400
1192,1.0,5,316500
1006,2.0,41,158500
1838,2.0,12,381800
2681,5.0,26,417000
3739,5.0,46,560500
2284,3.0,34,359100
1663,3.0,49,257600
3590,5.0,14,643300
1363,2.0,26,266900
1820,3.0,45,311700
895,2.0,27,187100
2723,4.0,9,519200
2557,,26,468400
3332,5.0,47,525000
3078,5.0,22,545900
3596,5.0,47,599700
2478,,30,460500
1340,2.0,43,213100
1859,2.0,48,300800
3372,,17,604300
1983,3.0,26,341900
2522,3.0,36,405600
3957,5.0,1,705800
2619,3.0,8,467900
3425,5.0,49,590600
3529,5.0,35,574000
3404,5.0,15,599500
2397,3.0,47,391000
3860,5.0,22,690600
3493,5.0,14,595400
1595,2.0,26,297700
1851,3.0,28,349900
2443,3.0,23,480100
2163,4.0,14,389200
2781,4.0,24,475200
2154,4.0,2,403200
2463,3.0,45,359200
2329,3.0,26,464400
2838,,14,494700
2296,4.0,7,421300
3037,3.0,3,575400
2208,3.0,47,318800
2200,4.0,23,437400
2106,2.0,46,297800
3480,5.0,43,627300
3475,5.0,47,519700
1772,2.0,45,242000
2568,4.0,18,455400
2082,2.0,38,374800
1509,,35,285800
2279,3.0,15,406500
2234,4.0,25,457600
1448,2.0,37,322700
1117,,28,241700
2057,3.0,10,372300
1483,2.0,39,248200
1463,,17,243500
2798,4.0,39,483800
2431,4.0,22,399300
2295,3.0,26,423300
1936,2.0,44,378800
2653,4.0,25,497400
2320,2.0,17,388000
3289,5.0,13,612000
1363,2.0,20,313400
2091,3.0,25,426400
3984,5.0,4,673200
2436,3.0,10,459300
3799,5.0,3,673800
3952,5.0,41,682400
1498,,45,267700
2960,4.0,18,455500
801,1.0,47,128000
1441,2.0,36,264100
3067,4.0,47,466600
2389,4.0,22,459700
1654,2.0,34,244400
2559,4.0,47,414600
3232,5.0,8,633900
2461,4.0,40,406000
1953,4.0,49,368700
1876,3.0,44,275600
2507,3.0,19,506500
3577,5.0,42,595400
2495,4.0,41,439100
2533,,37,469300
2239,3.0,6,439100
3094,5.0,26,509000
1635,2.0,34,287300
1002,2.0,45,167000
922,1.0,6,149800
1200,1.0,37,234900
1566,,33,286400
1093,1.0,22,214100
3127,4.0,21,552100
3731,5.0,6,655700
997,2.0,6,288200
3829,5.0,48,631800
